Model,Version,Transmission,Adjustment
2011,110 DIESEL 5PTS 2.5L 4CIL 120HP MAN,M6,7.5
2011,2PTS 1.0L 3CIL 70HP AUT,AUT,15.54
2011,2PTS 1.0L 3CIL 83HP AUT,AUT,14.98
2011,2PTS 1.8L 4CIL 161HP AUT,AUT,8.59
2011,2PTS 1.8L 4CIL 161HP MAN,M6,8.61
2011,2PTS 2.0L 4CIL 158HP AUT,AUT,9.49
2011,2PTS 2.0L 4CIL 167HP MAN,M6,9.95
2011,2PTS 2.5L 5CIL 150HP MAN,M5,10.59
2011,2PTS 2.5L 5CIL 150HP TIP,TIPTRONIC,10.2
2011,2PTS 2.5L 5CIL 230HP AUT,AUT,7.64
2011,2PTS 2.9L 6CIL 265HP MAN,MAN,18.42
2011,2PTS 2.9L 6CIL 265HP PDK,PDK,17.54
2011,2PTS 3.0L 6CIL 218HP AUT STRONIC,AUT,9.37
2011,2PTS 3.0L 6CIL 218HP MAN,MAN,9.71
2011,2PTS 3.0L 6CIL 306HP AUT,AUT,8.95
2011,2PTS 3.0L 6CIL 306HP MAN TURBO,MAN,8.88
2011,2PTS 3.5L 6CIL 268HP AUT,G TRONIC,7.6
2011,2PTS 3.6L 6CIL 304HP AUT,AUT,7.91
2011,2PTS 3.6L 6CIL 312HP AUT,AUT,9.31
2011,2PTS 3.7L 6CIL 305HP AUT,AUT,7.65
2011,2PTS 3.7L 6CIL 305HP MAN,M6,10.2
2011,2PTS 3.7L 6CIL 329HP AUT,AUT,6.7
2011,2PTS 3.7L 6CIL 329HP MAN,M6,6.7
2011,2PTS 3.8L 6CIL 260HP MAN,MAN,7.07
2011,2PTS 4.2L 8CIL 354HP MAN QUATTRO,MAN,6.3
2011,2PTS 4.2L 8CIL 354HP TIPTRONIC QUATTRO,TIP,6.26
2011,2PTS 4.2L 8CIL 420HP MANUAL QUATTRO,MAN,6.58
2011,2PTS 4.2L 8CIL 420HP R TRONIC QUATTRO,R TRONIC,6.58
2011,2PTS 4.2L 8CIL 450HP TIPTRONIC QUATTRO,TIP,6.26
2011,2PTS 5.0L 8CIL 412HP AUT,AUT,7.12
2011,2PTS 5.0L 8CIL 412HP MAN,M6,7.12
2011,2PTS 5.2L 10CIL 525HP MANUAL QUATTRO,MAN,5.19
2011,2PTS 5.2L 10CIL 525HP R TRONIC QUATTRO,R TRONIC,5.19
2011,2PTS 5.5 8CIL 355HP AUT,G TRONIC,6.39
