Version,Model,Transmission,Fuel,City,Road,Average
HIBRIDO 4PTS 2.0L 4CIL 188HP AUT (CVT),2015,CVT,Gasolina,27.44,28.57,28.93
HIBRIDO 4PTS 2.0L 4CIL 188HP AUT (eCVT),2016,CVT,Gasolina,27.44,28.57,28.93
HIBRIDO 4X2 4PTAS 2.0L 4CIL 141(+47e)HP E-CVT,2017,CVT,Gasolina,25.62,24.77,25.23
HIBRIDO 4PTAS 2.0L 4CIL 188HP AUT eCVT,2018,AUT,Gasolina,25.62,24.77,25.23
HYBRID 4PTS 2.5L 4CIL 156HP CVT,2011,CVT,Gasolina,24,21.9,23.01
HYBRID 4PTS 2.5L 4CIL 156HP CVT,2012,CVT,Gasolina,24,21.9,23.01
HÍBRIDO 4PTS 1.5L 4CIL 90HP CVT,2013,CVT,Gasolina,23.8,26.7,26.15
HÍBRIDO 4PTS 1.5L 4CIL 90HP CVT,2014,CVT,Gasolina,23.8,26.7,26.15
HÍBRIDO 4PTS 1.5L 4CIL 90HP CVT,2012,CVT,Gasolina,23.2,26.1,24.42
4PTS 1.3L 4CIL 110HP CVT,2011,CVT,Gasolina,21.8,25.4,23.29
SEDAN 4PUERTAS 1.2L 4CIL 105HP MAN TURBO,2015,MAN,Gasolina,17.5,22.8,19.54
4PTAS 1.4L 4CIL125HP DSG TURBO,2016,DSG,Gasolina,17.3,27,20.64
4PTAS 1.4L 4CIL125HP DSG TURBO,2017,DSG,Gasolina,17.3,27,20.64
HATCHBACK 5PTAS 1.5L 4CIL 102HP AUT,2016,AUT,Gasolina,17.3,24,19.79
i TOURING 5PTAS 1.5L 4CIL 106HP AUT R15,2016,AUT,Gasolina,17.3,24,21.1
i GRAND TOURING 5PTAS 1.5L 4CIL 106HP AUT R16,2016,AUT,Gasolina,17.3,24,21.1
i 5PTAS 1.5L 4CIL 106HP AUT,2017,AUT,Gasolina,17.3,24,21.1
i TOURING 5PTAS 1.5L 4CIL 106HP AUT,2017,AUT,Gasolina,17.3,24,21.1
i GRAND TOURING 5PTAS 1.5L 4CIL 106HP AUT,2017,AUT,Gasolina,17.3,24,21.1
LS 4PTAS 1.4L 4CIL 148HP AUT TURBO,2017,AUT,Gasolina,17.14,28.41,22.15
LT 4PTAS 1.4L 4CIL 148HP AUT TURBO,2017,AUT,Gasolina,17.14,28.41,22.15
A7 5PTS 1.4L 4CIL 140HP DSG TURBO FSI,2015,DSG,Gasolina,17.1,27.9,20.71
MKVI 4PTS 2.0L 4CIL 140HP DSG TURBO DIESEL,2015,DSG,Diesel,17,26.1,21.47
MKVI 4PTAS 2.0L 4CIL 140HP DSG TURBO DIESEL,2016,DSG,Diesel,17,26.1,21.47
LS 4PTAS 1.4L 4CIL 148HP MAN TURBO,2017,MAN,Gasolina,16.99,27.12,21.72
4PTAS 1.2L 4CIL110HP MAN,2016,MAN,Gasolina,16.9,26.7,20.24
4PTAS 1.2L 4CIL110HP MAN,2017,MAN,Gasolina,16.9,26.7,20.24
LT 4PTAS 1.5L 4CIL 107HP AUT,2018,AUT,Gasolina,16.59,24.15,20.64
PREMIER 4PTAS 1.5L 4CIL 107HP AUT,2018,AUT,Gasolina,16.59,24.15,20.64
2WD 5PTAS 1.6L 4CIL118HP CVT,2016,CVT,Gasolina,16.5,21.7,18.49
2WD 5PTAS 1.6L 4CIL118HP CVT,2015,CVT,Gasolina,16.5,21.7,18.49
2WD 5PTAS 1.6L 4CIL118HP CVT,2017,CVT,Gasolina,16.5,21.7,18.49
LS 4PTAS 1.4L 4CIL 148HP TURBO MAN,2018,MAN,Gasolina,16.45,26.88,19.93
HATCHBACK 5PTAS 1.5L 4CIL 102HP MAN,2016,MAN,Gasolina,16.3,23.5,18.91
i TOURING 5PTAS 1.5L 4CIL 106HP MAN R15,2016,MAN,Gasolina,16.3,23.5,20.24
i 5PTAS 1.5L 4CIL 106HP MAN,2017,MAN,Gasolina,16.3,23.5,20.24
i TOURING 5PTAS 1.5L 4CIL 106HP MAN,2017,MAN,Gasolina,16.3,23.5,20.24
