Marca,Modelo,Versión
ACURA,ILX,20 TECH 4PTS 2.0L 4CIL 150HP AUT
ACURA,ILX,ADVANCE 4PTS 2.4L 4CIL 201HP AUT
ACURA,ILX,ADVANCE SEDAN 4PTAS 2.4L 4CIL 201HP AUT
ACURA,ILX,BASE 4PTS 2.0L 4CIL 150HP AUT
ACURA,ILX,PREMIUM 4PTS 2.0L 4CIL 150HP AUT
ACURA,ILX,PREMIUM 4PTS 2.4L 4CIL 202HP MAN
ACURA,ILX,TECH 4PTS 2.0L 4CIL 150HP AUT
ACURA,ILX,TECH 4PTS 2.4L 4CIL 201HP AUT
ACURA,ILX,TECH SEDAN 4PTAS 2.4L 4CIL 201HP AUT
ACURA,MDX,2WD 5PTAS 3.5L 6CIL 279HP AUT
ACURA,MDX,2WD 5PTS 3.5L 6CIL 290HP AUT
ACURA,MDX,4WD 5PTS 3.7L 6CIL 304HP AUT
ACURA,MDX,SH-AWD 5PTAS 3.5L 6CIL 279HP AUT
ACURA,MDX,SH-AWD 5PTS 3.5L 6CIL 290HP AUT
ACURA,NSX,COUPE AWD 2PTAS 3.5L 6CIL 573HP TURBO AUT DCT
ACURA,NSX,PREMIUM COUPE AWD 2PTAS 3.5L 6CIL 573HP AUT DCT
ACURA,RDX,2WD 5PTAS 3.5L 6CIL 279HP AUT
ACURA,RDX,2WD 5PTS 3.5L 6CIL 279HP AUT
ACURA,RDX,4WD 5PTAS 3.5L 6CIL 279HP AUT
ACURA,RDX,4WD 5PTS 2.3L 4CIL 240HP AUT
ACURA,RDX,4WD 5PTS 2.3L 4CIL 240HP AUT TURBO
ACURA,RDX,4WD 5PTS 3.5L 6CIL 279HP AUT
ACURA,RDX,RDX 5PTS 3.5L 6CIL 273HP AUT
ACURA,RL,4WD 4PTS 3.7L 6CIL 303HP AUT
ACURA,RLX,4PTS 3.5L 6CIL 310HP AUT
ACURA,TL,2WD 4PTS 3.5L 6CIL 280HP AUT
ACURA,TL,4PTS 3.5L 6CIL 280HP AUT
ACURA,TL,SH-AWD 4PT S3.7L 6CIL 305HP AUT
ACURA,TL,SH-AWD 4PTS 3.7L 6CIL 305HP AUT
ACURA,TL,SHAWD 4WD 3.7L 6CIL 305HP AUT
