Versión,Modelo,Trans.,Cilindros,Potencia (HP),Tamaño (L),Categoría
HIBRIDO 4PTS 2.0L 4CIL 188HP AUT (CVT),2015,CVT,4,188,2.0,AUTOS COMPACTOS
HIBRIDO 4PTS 2.0L 4CIL 188HP AUT (eCVT),2016,CVT,4,188,2.0,AUTOS COMPACTOS
HIBRIDO 4X2 4PTAS 2.0L 4CIL 141(+47e)HP E-CVT,2017,CVT,4,188,2.0,AUTOS COMPACTOS
HIBRIDO 4PTAS 2.0L 4CIL 188HP AUT eCVT,2018,AUT,4,188,2.0,AUTOS COMPACTOS
HYBRID 4PTS 2.5L 4CIL 156HP CVT,2011,CVT,4,156,2.5,AUTOS COMPACTOS
HYBRID 4PTS 2.5L 4CIL 156HP CVT,2012,CVT,4,156,2.5,AUTOS COMPACTOS
HÍBRIDO 4PTS 1.5L 4CIL 90HP CVT,2013,CVT,4,90,1.5,AUTOS COMPACTOS
HÍBRIDO 4PTS 1.5L 4CIL 90HP CVT,2014,CVT,4,90,1.5,AUTOS COMPACTOS
HÍBRIDO 4PTS 1.5L 4CIL 90HP CVT,2012,CVT,4,90,1.5,AUTOS COMPACTOS
4PTS 1.3L 4CIL 110HP CVT,2011,CVT,4,110,1.3,AUTOS COMPACTOS
SEDAN 4PUERTAS 1.2L 4CIL 105HP MAN TURBO,2015,MAN,4,105,1.2,AUTOS COMPACTOS
4PTAS 1.4L 4CIL125HP DSG TURBO,2016,DSG,4,125,1.4,AUTOS COMPACTOS
4PTAS 1.4L 4CIL125HP DSG TURBO,2017,DSG,4,125,1.4,AUTOS COMPACTOS
HATCHBACK 5PTAS 1.5L 4CIL 102HP AUT,2016,AUT,4,102,1.5,AUTOS COMPACTOS
i TOURING 5PTAS 1.5L 4CIL 106HP AUT R15,2016,AUT,4,106,1.5,AUTOS COMPACTOS
i GRAND TOURING 5PTAS 1.5L 4CIL 106HP AUT R16,2016,AUT,4,106,1.5,AUTOS COMPACTOS
i 5PTAS 1.5L 4CIL 106HP AUT,2017,AUT,4,106,1.5,AUTOS COMPACTOS
i TOURING 5PTAS 1.5L 4CIL 106HP AUT,2017,AUT,4,106,1.5,AUTOS COMPACTOS
i GRAND TOURING 5PTAS 1.5L 4CIL 106HP AUT,2017,AUT,4,106,1.5,AUTOS COMPACTOS
LS 4PTAS 1.4L 4CIL 148HP AUT TURBO,2017,AUT,4,148,1.4,AUTOS COMPACTOS
LT 4PTAS 1.4L 4CIL 148HP AUT TURBO,2017,AUT,4,148,1.4,AUTOS COMPACTOS
A7 5PTS 1.4L 4CIL 140HP DSG TURBO FSI,2015,DSG,4,140,1.4,AUTOS COMPACTOS
MKVI 4PTS 2.0L 4CIL 140HP DSG TURBO DIESEL,2015,DSG,4,140,2.0,AUTOS COMPACTOS
MKVI 4PTAS 2.0L 4CIL 140HP DSG TURBO DIESEL,2016,DSG,4,140,2.0,AUTOS COMPACTOS
LS 4PTAS 1.4L 4CIL 148HP MAN TURBO,2017,MAN,4,148,1.4,AUTOS COMPACTOS
4PTAS 1.2L 4CIL110HP MAN,2016,MAN,4,110,1.2,AUTOS COMPACTOS
4PTAS 1.2L 4CIL110HP MAN,2017,MAN,4,110,1.2,AUTOS COMPACTOS
LT 4PTAS 1.5L 4CIL 107HP AUT,2018,AUT,4,107,1.5,AUTOS COMPACTOS
PREMIER 4PTAS 1.5L 4CIL 107HP AUT,2018,AUT,4,107,1.5,AUTOS COMPACTOS
2WD 5PTAS 1.6L 4CIL118HP CVT,2016,CVT,4,118,1.6,AUTOS COMPACTOS
2WD 5PTAS 1.6L 4CIL118HP CVT,2015,CVT,4,118,1.6,AUTOS COMPACTOS
2WD 5PTAS 1.6L 4CIL118HP CVT,2017,CVT,4,118,1.6,AUTOS COMPACTOS
LS 4PTAS 1.4L 4CIL 148HP TURBO MAN,2018,MAN,4,148,1.4,AUTOS COMPACTOS
HATCHBACK 5PTAS 1.5L 4CIL 102HP MAN,2016,MAN,4,102,1.5,AUTOS COMPACTOS
i TOURING 5PTAS 1.5L 4CIL 106HP MAN R15,2016,MAN,4,106,1.5,AUTOS COMPACTOS
i 5PTAS 1.5L 4CIL 106HP MAN,2017,MAN,4,106,1.5,AUTOS COMPACTOS
i TOURING 5PTAS 1.5L 4CIL 106HP MAN,2017,MAN,4,106,1.5,AUTOS COMPACTOS
A7 5PTS 1.4L 4CIL 140HP MAN TURBO FSI,2015,MAN,4,140,1.4,AUTOS COMPACTOS
PPREMIER 4PTAS 1.4L 4CIL 148HP AUT TURBO,2017,AUT,4,148,1.4,AUTOS COMPACTOS
4WD 5PTAS 1.6L 4CIL118HP CVT,2016,CVT,4,118,1.6,AUTOS COMPACTOS
4WD 5PTAS 1.6L 4CIL118HP CVT,2015,CVT,4,118,1.6,AUTOS COMPACTOS
A7 CROSSGOLF 5PTAS 1.4L 4CIL 150HP DSG,2016,DSG,4,150,1.4,AUTOS COMPACTOS
A7 CROSSGOLF 5PTAS 1.4L 4CIL 150HP DSG,2017,DSG,4,150,1.4,AUTOS COMPACTOS
LT 4PTAS 1.4L 4CIL 148HP TURBO AUT,2018,AUT,4,148,1.4,AUTOS COMPACTOS
4PTS 1.8L 4CIL 129HP CVT XTRONIC,2013,CVT,4,129,1.8,AUTOS COMPACTOS
SEDAN 4PTS 2.0L 4CIL 153HP AUT,2014,AUT,4,153,2.0,AUTOS COMPACTOS
HATCHBACK 5PTS 2.0L 4CIL 153HP AUT,2014,AUT,4,153,2.0,AUTOS COMPACTOS
4PTS 1.8L 4CIL 129HP CVT,2015,CVT,4,129,1.8,AUTOS COMPACTOS
SEDAN 4PTS 2.0L 4CIL 155HP AUT,2015,AUT,4,155,2.0,AUTOS COMPACTOS
HATCHBACK 5PTS 2.0L 4CIL 155HP AUT,2015,AUT,4,155,2.0,AUTOS COMPACTOS
4PTAS 1.6L 4CIL110HP MAN,2016,MAN,4,110,1.6,AUTOS COMPACTOS
4PTAS 1.6L 4CIL110HP MAN,2017,MAN,4,110,1.6,AUTOS COMPACTOS
SEDAN 4PTS 2.0L 4CIL 155HP AUT,2016,AUT,4,155,2.0,AUTOS COMPACTOS
4PTAS 1.8L 4CIL 129HP MAN,2016,CVT,4,129,1.8,AUTOS COMPACTOS
i TOURING 4PTAS 2.0L 4CIL 155HP AUT,2016,AUT,4,155,2.0,AUTOS COMPACTOS
i TOURING 5PTAS 2.0L 4CIL 155HP AUT,2016,AUT,4,155,2.0,AUTOS COMPACTOS
i 4PTAS 2.0L 4CIL 155HP AUT,2017,AUT,4,155,2.0,AUTOS COMPACTOS
i 5PTAS 2.0L 4CIL 155HP AUT,2017,AUT,4,155,2.0,AUTOS COMPACTOS
4PTS 1.2L 4CIL 105HP MAN TURBO,2013,MAN,4,105,1.2,AUTOS COMPACTOS
4PTAS 2.0L 4CIL 150HP MAN,2018,MAN,4,150,2.0,AUTOS COMPACTOS
LS 4PTAS 1.4L 4CIL 148HP TURBO AUT,2018,AUT,4,148,1.4,AUTOS COMPACTOS
2PTS 1.2L 4CIL 104HP MAN TURBO,2012,MAN,4,104,1.2,AUTOS COMPACTOS
